FECHA,NOMBRE,PUESTO,dolarAsignacion,dolarBruto
2012-03-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,6270.0,3766.55
2012-03-01,"PEÑA, MARCOS",SECRETARIO GENERAL,6345.5,3678.5
2012-03-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,5956.5,3158.7
2012-03-01,"GAYTAN, PABLO",SECRETARIO GRAL COMUNICACIÓN,5956.5,3342.38
2012-04-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-04-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,8875.6,4312.68
2012-04-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,6270.0,3272.65
2012-04-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,6270.0,3658.0
2012-04-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,6270.0,3334.28
2012-04-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,6270.0,3604.48
2012-04-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,6270.0,3474.42
2012-04-01,"MONZO, EMILIO",MINISTRO,6427.88,3524.98
2012-04-01,"STANLEY, CAROLINA",MINISTRO,6270.0,3530.42
2012-04-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,6270.0,3610.8
2012-04-01,"SANTILLI, DIEGO CESAR",MINISTRO,6270.0,3680.5
2012-04-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,6270.0,3540.32
2012-04-01,"IBARRA, ANDRES HORACIO",MINISTRO,6270.0,3265.45
2012-04-01,"REYBAUD, GRACIELA MABEL",MINISTRO,5016.0,2789.5
2012-04-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,5956.5,3569.9
2012-04-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,5956.5,3314.2
2012-04-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,5956.5,3546.5
2012-04-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,6091.25,3547.88
2012-04-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,6270.0,3725.38
2012-04-01,"PEÑA, MARCOS",SECRETARIO GENERAL,6345.5,3633.88
2012-04-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,5956.5,3112.48
2012-04-01,"GAYTAN, PABLO",SECRETARIO GRAL COMUNICACIÓN,5956.5,3314.2
2012-05-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-05-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,7913.05,3115.45
2012-05-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,6270.0,3236.45
2012-05-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,6270.0,3625.0
2012-05-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,6270.0,3246.78
2012-05-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,6270.0,3577.8
2012-05-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,6270.0,3411.68
2012-05-01,"MONZO, EMILIO",MINISTRO,6427.88,3471.08
2012-05-01,"STANLEY, CAROLINA",MINISTRO,6270.0,3529.92
2012-05-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,6270.0,3610.8
2012-05-01,"SANTILLI, DIEGO CESAR",MINISTRO,6270.0,3589.92
2012-05-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,6270.0,3514.48
2012-05-01,"IBARRA, ANDRES HORACIO",MINISTRO,6270.0,3215.75
2012-05-01,"REYBAUD, GRACIELA MABEL",MINISTRO,5016.0,2769.62
2012-05-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,5956.5,3539.6
2012-05-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,5956.5,3314.2
2012-05-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,5956.5,3521.32
2012-05-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,6091.25,3491.15
2012-05-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,6270.0,3702.15
2012-05-01,"PEÑA, MARCOS",SECRETARIO GENERAL,6345.5,3575.68
2012-05-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,5956.5,3058.25
2012-05-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,5956.5,3314.22
2012-06-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,2362.5,1953.79
2012-06-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,13344.85,8979.78
2012-06-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,10815.75,6877.8
2012-06-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,10815.75,7252.15
2012-06-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,10815.75,6839.08
2012-06-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,10815.75,7130.28
2012-06-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,10815.75,7047.8
2012-06-01,"MONZO, EMILIO",MINISTRO,10973.62,7030.3
2012-06-01,"STANLEY, CAROLINA",MINISTRO,10815.75,7262.88
2012-06-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,10815.75,7249.12
2012-06-01,"SANTILLI, DIEGO CESAR",MINISTRO,10815.75,7190.05
2012-06-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,10815.75,7130.28
2012-06-01,"IBARRA, ANDRES HORACIO",MINISTRO,10815.75,6784.4
2012-06-01,"REYBAUD, GRACIELA MABEL",MINISTRO,8652.6,5461.95
2012-06-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,10274.98,6935.6
2012-06-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,10274.98,6730.15
2012-06-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,10274.98,7927.22
2012-06-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,10409.72,6861.05
2012-06-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,10815.75,7284.62
2012-06-01,"PEÑA, MARCOS",SECRETARIO GENERAL,10891.25,7195.25
2012-06-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,10274.98,6448.8
2012-06-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,10274.98,6730.15
2012-07-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-07-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,5831.92
2012-07-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8122.88,4592.73
2012-07-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8122.88,4666.55
2012-07-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8122.88,4488.77
2012-07-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8122.88,4528.58
2012-07-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8122.88,4666.55
2012-07-01,"MONZO, EMILIO",MINISTRO,8280.75,5185.98
2012-07-01,"STANLEY, CAROLINA",MINISTRO,8122.88,4544.02
2012-07-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8122.88,4627.23
2012-07-01,"SANTILLI, DIEGO CESAR",MINISTRO,8122.88,4666.55
2012-07-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8122.88,4528.58
2012-07-01,"IBARRA, ANDRES HORACIO",MINISTRO,8122.88,4469.92
2012-07-01,"REYBAUD, GRACIELA MABEL",MINISTRO,6498.3,3438.78
2012-07-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,7716.72,4436.65
2012-07-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,7716.72,4278.77
2012-07-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,7716.72,4553.85
2012-07-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,7851.48,4456.85
2012-07-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8122.88,4686.38
2012-07-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8198.38,4703.88
2012-07-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,7716.72,4277.88
2012-07-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,7716.72,4278.77
2012-08-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-08-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,5716.82
2012-08-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8122.88,4271.2
2012-08-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8122.88,4666.55
2012-08-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8122.88,4228.6
2012-08-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8122.88,4528.58
2012-08-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8122.88,4545.6
2012-08-01,"MONZO, EMILIO",MINISTRO,8280.75,4605.65
2012-08-01,"STANLEY, CAROLINA",MINISTRO,8122.88,4544.02
2012-08-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8122.88,4590.92
2012-08-01,"SANTILLI, DIEGO CESAR",MINISTRO,8122.88,4666.55
2012-08-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8122.88,4528.58
2012-08-01,"IBARRA, ANDRES HORACIO",MINISTRO,8122.88,4209.8
2012-08-01,"REYBAUD, GRACIELA MABEL",MINISTRO,6498.3,3372.28
2012-08-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,7716.72,4409.0
2012-08-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,7716.72,4278.77
2012-08-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,7716.72,4470.35
2012-08-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,7851.48,4398.88
2012-08-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8122.88,4686.38
2012-08-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8198.38,4598.1
2012-08-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,7716.72,4068.92
2012-08-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,7716.72,4278.77
2012-09-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-09-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,5655.05
2012-09-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8122.88,4177.45
2012-09-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8122.88,4604.77
2012-09-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8122.88,4166.82
2012-09-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8122.88,4468.4
2012-09-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8122.88,4483.82
2012-09-01,"MONZO, EMILIO",MINISTRO,8280.75,4543.88
2012-09-01,"STANLEY, CAROLINA",MINISTRO,8122.88,4483.85
2012-09-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8122.88,4494.45
2012-09-01,"SANTILLI, DIEGO CESAR",MINISTRO,8122.88,4604.77
2012-09-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8122.88,4468.4
2012-09-01,"IBARRA, ANDRES HORACIO",MINISTRO,8122.88,4149.62
2012-09-01,"REYBAUD, GRACIELA MABEL",MINISTRO,6498.3,3268.18
2012-09-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,7716.72,4347.2
2012-09-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,7716.72,4218.62
2012-09-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,7716.72,4364.65
2012-09-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,7851.48,4338.73
2012-09-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8122.88,4624.6
2012-09-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8198.38,4506.7
2012-09-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,7716.72,4007.12
2012-09-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,7716.72,4218.62
2012-10-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-10-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,5620.8
2012-10-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8749.88,4658.98
2012-10-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8749.88,5022.02
2012-10-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8749.88,4532.58
2012-10-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8749.88,4874.73
2012-10-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8749.88,4871.82
2012-10-01,"MONZO, EMILIO",MINISTRO,8987.75,5004.38
2012-10-01,"STANLEY, CAROLINA",MINISTRO,8749.88,4995.2
2012-10-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8749.88,4874.73
2012-10-01,"SANTILLI, DIEGO CESAR",MINISTRO,8749.88,5022.02
2012-10-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8749.88,4874.73
2012-10-01,"IBARRA, ANDRES HORACIO",MINISTRO,8749.88,4646.02
2012-10-01,"REYBAUD, GRACIELA MABEL",MINISTRO,8749.88,4426.9
2012-10-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,8312.38,4743.62
2012-10-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,8312.38,4604.62
2012-10-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,8312.38,4761.05
2012-10-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,8447.12,4722.23
2012-10-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8749.88,5041.88
2012-10-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8825.38,4910.95
2012-10-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,8312.38,4359.02
2012-10-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,8312.38,4604.62
2012-11-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-11-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,5620.8
2012-11-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8749.88,4571.0
2012-11-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8749.88,5022.02
2012-11-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8749.88,4560.8
2012-11-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8749.88,4874.73
2012-11-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8749.88,4900.05
2012-11-01,"MONZO, EMILIO",MINISTRO,8987.75,5032.6
2012-11-01,"STANLEY, CAROLINA",MINISTRO,8749.88,4890.2
2012-11-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8749.88,4874.73
2012-11-01,"SANTILLI, DIEGO CESAR",MINISTRO,8749.88,5022.02
2012-11-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8749.88,4874.73
2012-11-01,"IBARRA, ANDRES HORACIO",MINISTRO,8749.88,4487.18
2012-11-01,"REYBAUD, GRACIELA MABEL",MINISTRO,8749.88,4426.9
2012-11-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,8312.38,4743.62
2012-11-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,8312.38,4604.62
2012-11-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,8312.38,4761.05
2012-11-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,8447.12,4729.52
2012-11-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8749.88,5041.88
2012-11-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8825.38,4918.0
2012-11-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,8312.38,4385.85
2012-11-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,8312.38,4604.62
2012-12-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-12-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,9919.67,6941.22
2012-12-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,8749.88,5609.0
2012-12-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,8749.88,6167.7
2012-12-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,8749.88,5909.82
2012-12-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,8749.88,6182.48
2012-12-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,8749.88,5973.62
2012-12-01,"MONZO, EMILIO",MINISTRO,8907.75,6140.7
2012-12-01,"STANLEY, CAROLINA",MINISTRO,8749.88,6034.45
2012-12-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,8749.88,6014.4
2012-12-01,"SANTILLI, DIEGO CESAR",MINISTRO,8749.88,6207.08
2012-12-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,8749.88,6070.22
2012-12-01,"IBARRA, ANDRES HORACIO",MINISTRO,8749.88,6026.62
2012-12-01,"REYBAUD, GRACIELA MABEL",MINISTRO,8749.88,5646.65
2012-12-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,8312.38,5968.42
2012-12-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,8312.38,5629.2
2012-12-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,8312.38,6061.38
2012-12-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,8447.12,5976.18
2012-12-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,8749.88,6233.32
2012-12-01,"PEÑA, MARCOS",SECRETARIO GENERAL,8825.38,6137.3
2012-12-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,8312.38,5526.88
2012-12-01,"GAYTAN, FACUNDO AMADO",SECRETARIO GRAL COMUNICACIÓN,8312.38,5629.2
2013-01-01,"MACRI, MAURICIO",Jefe de Gobierno,1575.0,1302.53
2013-01-01,"VIDAL, MARIA EUGENIA",Vice Jefa de Gobierno,9919.67,7090.58
2013-01-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",Jefe de Gabinete de Ministros,8749.88,5906.42
2013-01-01,"GRINDETTI, NESTOR OSVALDO",Ministro de Hacienda,8749.88,6167.7
2013-01-01,"MONTENEGRO, GUILLERMO TRISTAN",Ministro de Justicia y Seguridad,8749.88,6070.22
2013-01-01,"REYBAUD, GRACIELA MABEL",Ministro de Salud,8749.88,5646.65
2013-01-01,"BULLRICH, ESTEBAN JOSE",Ministro de Educación,8749.88,6088.2
2013-01-01,"CHAIN, DANIEL GUSTAVO",Ministro de Desarrollo Urbano,8749.88,6138.3
2013-01-01,"LOMBARDI, HERNAN SANTIAGO",Ministro de Cultura,8749.88,6014.4
2013-01-01,"STANLEY, CAROLINA",Ministra de Desarrollo Social,8749.88,6000.98
2013-01-01,"CABRERA, FRANCISCO ADOLFO",Ministro de Desarrollo Económico,8749.88,6182.48
2013-01-01,"SANTILLI, DIEGO CESAR",Ministro de Ambiente y Espacio Público,8749.88,6207.08
2013-01-01,"IBARRA, ANDRES HORACIO",Ministro de Modernización,8749.88,6209.52
2013-01-01,"MONZO, EMILIO",Ministro de Gobierno,8749.88,6830.0
2013-01-01,"PEÑA, MARCOS",Secretario General,8749.88,6232.18
2013-01-01,"CLUSELLAS, PABLO",Secretario Legal y Técnico,8312.38,5936.3
2013-01-01,"GAYTAN, FACUNDO AMADO",Secretario de Comunicación Social,8312.38,5629.2
2013-01-01,"DE GODOY, MIGUEL ANGEL",Secretario de Medios,8312.38,5629.2
2013-01-01,"MACCHIAVELLI, EDUARDO ALBERTO",Secretario de Gestión Comunal y Atención Ciudadana,8312.38,6080.45
2013-01-01,"nan, nan",Subsecretario,6999.9,6999.9
2013-01-01,"nan, nan",Director General,6124.92,6124.92
2013-01-01,"nan, nan",Director General Adjunto,6124.92,6124.92
2013-02-01,"MACRI, MAURICIO",Jefe de Gobierno,1260.0,1042.02
2013-02-01,"VIDAL, MARIA EUGENIA",Vice Jefa de Gobierno,7935.74,5507.18
2013-02-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",Jefe de Gabinete de Ministros,6999.9,4569.7
2013-02-01,"GRINDETTI, NESTOR OSVALDO",Ministro de Hacienda,6999.9,4934.16
